Sigla;Código;Título;Sub-título;Autores;Data;Tipo;Distribuição;Situação;Nome do arquivo;Projeto;Objeto;Indicador;Arq
AAT;AAT00010020;Ata de reunião Núcleo Regional do Espírito Santo - janeiro 2020;;CINTIA MACHADO DE OLIVEIRA, FRANCISCO WILSON HOLLANDA VIDAL, ;18/02/2020;Ata de reunião;Pública;Concluído;ata_janeiro_2020.pdf;PRJ02.24;09/00054;;SIM
ANA;ANA00010020;REGISTRO DE CONTROLE DE ATENDIMENTO AO PÚBLICO 2020;;;09/03/2020;Norma ou procedimento administrativo;Pública;Em preparação;;PRJ11.04;11/00093;;NÃO
#N/D;CAC00010020;Niobium ore carbonate mineral flotation without desliming;;Elves Matiolo, Amanda Soares de Freitas, Hudson Jean Bianquini Couto, Stéphanie Oliveira Moura e Sá, ;26/10/2020;Artigo em congresso (trabalho completo);Pública;Concluído;CAC00010020 - ELVES MATIOLO.pdf;PRJ05.18;09/00086;"IGPUB; ";SIM
#N/D;CAC00020020;Equilibrium studies of europium biosorption by dead fungal biomass;;ANA CAROLINA DE OLIVEIRA SANTANA, NICE DE VASCONCELOS COIMBRA, ELLEN CRISTINE GIESE, ;10/12/2020;Artigo em congresso (trabalho completo);Pública;Publicado;CAC 0020-00-20.pdf;PRJ01.13;08/00083;"IGPUB; ";SIM
#N/D;CAC00030020;Destinação dos Resíduos da Construção Civil: Avaliação do Ciclo de Vida da Fase de Demolição;;LIMA, F.R.M.S., Marcela Tarazona-Alvardo, Giancarlo Lovón-Canchumani, ;14/12/2020;Artigo em congresso (trabalho completo);Pública;Concluído;CAC00030020- FRANCISCO MARIANO.pdf;PRJ05.18;20/00041;"IGPUB; ";SIM
CAI;CAI00660020;Novel application for palygorskite clay mineral: a kinetic and thermodynamic assessment of diesel fuel desulfurization;;Anne B. F. Câmara, Rafael V. Sales, LUIZ CARLOS BERTOLINO, FURLANETTO, R. P. P., Enrique Rodríguez-Castellón, Luciene S. de Carvalho, ;06/01/2020;Artigo em períodico, revistas, jornais indexado no SCI;Pública;Publicado;CAI-0066-00-20 - Bertolino.pdf;PRJ01.14;07/00176;"IGPUB; IPUB; ";SIM
#N/D;CAI00010020;Ecological bricks from dimension stone waste and polyester resin;;Barros, M. M., Oliveira, M. F. L., ROBERTO CARLOS DA CONCEIÇÃO RIBEIRO, Daniele Cruz Bastos, Oliveira, M. G., ;06/01/2020;Artigo em períodico, revistas, jornais indexado no SCI;Pública;Concluído;CAI-0001-00-20.pdf;PRJ02.19;09/00067;"IGPUB; IPUB; ";SIM
#N/D;CAI00020020;Extraction of lithium from a montebrasite concentrate: Applied mineralogy, pyro- and hydrometallurgy;;Paulo Fernando Almeida Braga, Sílvia Cristina Alves França, Caroline C. Gonçalves, Paulo F.V. Ferraz, Reiner Neumann, ;13/01/2020;Artigo em períodico, revistas, jornais indexado no SCI;Pública;Concluído;CAI00020020 - Paulo Braga.pdf;PRJ05.18;20/00003;"IGPUB; IPUB; ";SIM
#N/D;CAI00030020;The white marbles of Brasília, a World Heritage site and capital of Brazil;;Maria Heloisa Barros de Oliveira Frascá, Risale Neves, NURIA FERNANDEZ CASTRO, ;29/01/2020;Artigo em períodico, revistas, jornais indexado no SCI;Pública;Concluído;CAI-0003-00-20.pdf;PRJ02.19;09/00067;"IGPUB; IPUB; ";SIM
#N/D;CAI00040020;Guidance for the integrated use of hydrological, geochemical, and isotopic tools in mining operations;;Christian Wolkersdorfer, Darrell Kirk Nordstrom, Roger Daniel Beckie, Daniel S. Cicerone, Trevor Elliot, Mansour Edraki, Teresa Valente, Silvia Cristina Alves França, Pramod Kumar, Ricardo Andrés Oyarzún Lucero, Albert Soler i Gil, ;10/03/2020;Artigo em períodico, revistas, jornais indexado no SCI;Pública;Concluído;CAI00040020 - SILVIA FRANÇA.pdf;PRJ05.18;09/00086;"IGPUB; IPUB; ";SIM
